round,avg_train_loss,avg_train_acc,avg_val_loss,avg_val_acc,clients_used,clients_failed
1,2.129802324553226,0.1857804232804233,2.0618411540985107,0.27444444444444444,18,0
2,1.877112969363771,0.31167133520074697,1.7170168578624725,0.40547619047619043,17,0
3,1.6125666982096896,0.41083099906629317,1.4752275109291078,0.4591269841269841,17,0
4,1.4336329077694818,0.4574929971988796,1.3641457319259644,0.488968253968254,17,0
5,1.3443684281661497,0.4832706766917293,1.3051063656806945,0.49452380952380953,19,0
6,1.2959361985711724,0.49903926482873845,1.2455162525177002,0.5263492063492063,19,0
7,1.2463975274478738,0.5159611992945325,1.220422726869583,0.5343650793650794,18,0
8,1.236747116490461,0.5248132586367881,1.1822450697422027,0.5465873015873016,17,0
9,1.1798849884758031,0.5489729225023342,1.1741926431655885,0.5586507936507936,17,0
10,1.1776352485375745,0.5509920634920635,1.159412544965744,0.587936507936508,16,0
11,1.1469145512833165,0.5639682539682539,1.122199222445488,0.5894444444444444,15,0
12,1.1207112400845334,0.5805272108843537,1.1216113656759261,0.5917460317460318,14,0
13,1.1306656495327987,0.573561507936508,1.143931519985199,0.6135714285714285,16,0
14,1.0444249055553185,0.6139172335600908,1.0843961834907532,0.5983333333333334,14,0
15,1.0982477118519036,0.5827821869488536,1.1038355320692061,0.606111111111111,18,0
16,1.0418209406644159,0.6100529100529101,1.0863827049732209,0.5918253968253968,9,0
17,1.0565282843625945,0.6052469135802468,1.0447095483541489,0.6234920634920635,18,0
18,1.068059510957627,0.5988492063492064,1.0788149952888488,0.621904761904762,10,0
19,1.056137442413101,0.6073412698412699,1.1881816983222961,0.6147619047619048,14,0
20,1.0948860150075554,0.6013605442176871,1.0385173588991166,0.6308730158730158,7,0
