round,cid,train_loss,train_acc,num_examples
1,client_13,2.143627161449856,0.1634920634920635,2520
1,client_8,2.1325479181986005,0.1630952380952381,2520
1,client_12,2.1352499901302275,0.1634920634920635,2520
1,client_17,2.1150434013396975,0.1880952380952381,2520
1,client_2,2.1189696353579324,0.1992063492063492,2520
1,client_10,2.1263125873747324,0.16468253968253968,2520
1,client_11,2.1324744402416167,0.1992063492063492,2520
1,client_16,2.128848411923363,0.20436507936507936,2520
1,client_14,2.125859718852573,0.18134920634920634,2520
1,client_0,2.139914587944273,0.19007936507936507,2520
1,client_18,2.11997091921549,0.16746031746031745,2520
1,client_5,2.1593141366565036,0.1869047619047619,2520
1,client_7,2.143139792245532,0.19206349206349208,2520
1,client_9,2.0977898518244427,0.2015873015873016,2520
1,client_4,2.153059474627177,0.20396825396825397,2520
1,client_1,2.135301549094064,0.19126984126984126,2520
1,client_15,2.1202224818487014,0.1757936507936508,2520
1,client_3,2.1087957836332776,0.20793650793650795,2520
2,client_5,1.9261959465723189,0.30674603174603177,2520
2,client_10,1.869349607967195,0.3126984126984127,2520
2,client_13,1.8685720610240149,0.32103174603174606,2520
2,client_6,1.921790784124344,0.32103174603174606,2520
2,client_3,1.9023062690855965,0.3115079365079365,2520
2,client_15,1.8386539444090828,0.31626984126984126,2520
2,client_7,1.9091222365697225,0.28888888888888886,2520
2,client_1,1.8799553844663832,0.325,2520
2,client_18,1.8474456049147105,0.30198412698412697,2520
2,client_12,1.8573730419552514,0.3142857142857143,2520
2,client_0,1.9165794595839485,0.298015873015873,2520
2,client_8,1.8471057573954264,0.30873015873015874,2520
2,client_4,1.9025794574192592,0.3107142857142857,2520
2,client_17,1.8562239211703104,0.31746031746031744,2520
2,client_11,1.8746796350630504,0.30317460317460315,2520
2,client_14,1.8256321286398267,0.3408730158730159,2520
2,client_19,1.8673552388236636,0.3,2520
3,client_4,1.685897966415163,0.38492063492063494,2520
3,client_17,1.5798674382860698,0.4242063492063492,2520
3,client_19,1.5862941503524781,0.4170634920634921,2520
3,client_13,1.571590412987603,0.43214285714285716,2520
3,client_10,1.5452582329038589,0.44007936507936507,2520
3,client_0,1.6808895697669377,0.3738095238095238,2520
3,client_8,1.5800930836844065,0.41944444444444445,2520
3,client_15,1.5668252979006085,0.43452380952380953,2520
3,client_18,1.539694295232258,0.4353174603174603,2520
3,client_11,1.557382143111456,0.4365079365079365,2520
3,client_12,1.585024965377081,0.42063492063492064,2520
3,client_1,1.6446483222265091,0.4003968253968254,2520
3,client_3,1.6613967157545544,0.3888888888888889,2520
3,client_6,1.6903926682850672,0.3674603174603175,2520
3,client_14,1.5708267363290938,0.4396825396825397,2520
3,client_7,1.6698059471826705,0.3880952380952381,2520
3,client_5,1.6977459237689063,0.38095238095238093,2520
4,client_7,1.5035101546181573,0.42103174603174603,2520
4,client_6,1.5439237280497475,0.4242063492063492,2520
4,client_14,1.3908881827006265,0.4607142857142857,2520
4,client_11,1.3713577315920875,0.46904761904761905,2520
4,client_1,1.5376142921901885,0.4170634920634921,2520
4,client_12,1.378878390599811,0.48333333333333334,2520
4,client_18,1.3439595464676146,0.49166666666666664,2520
4,client_5,1.5332090495124695,0.42817460317460315,2520
4,client_8,1.3373333336815,0.4785714285714286,2520
4,client_15,1.3404136158171154,0.49603174603174605,2520
4,client_19,1.3444781193657527,0.48253968253968255,2520
4,client_17,1.371025560394166,0.4876984126984127,2520
4,client_0,1.5193968852361044,0.43293650793650795,2520
4,client_13,1.3424160514559065,0.4988095238095238,2520
4,client_10,1.354788102800884,0.49523809523809526,2520
4,client_4,1.5987378759989663,0.40555555555555556,2520
4,client_3,1.5598288116000947,0.40476190476190477,2520
5,client_5,1.5004792754612273,0.4261904761904762,2520
5,client_13,1.2598928847010173,0.5138888888888888,2520
5,client_17,1.269193524784512,0.5007936507936508,2520
5,client_14,1.3067269760464866,0.49523809523809526,2520
5,client_16,1.333593773841858,0.48412698412698413,2520
5,client_2,1.470794101366921,0.44603174603174606,2520
5,client_0,1.4979206066282968,0.43293650793650795,2520
5,client_4,1.4625225052000985,0.4527777777777778,2520
5,client_10,1.2540536755607241,0.5166666666666667,2520
5,client_1,1.4450823515180558,0.44007936507936507,2520
5,client_9,1.2793864723235842,0.5011904761904762,2520
5,client_15,1.2709509013191103,0.5051587301587301,2520
5,client_18,1.25898518751538,0.5222222222222223,2520
5,client_3,1.4470185325259255,0.44682539682539685,2520
5,client_6,1.4375658864066714,0.46150793650793653,2520
5,client_11,1.2932131366124229,0.5015873015873016,2520
5,client_8,1.2388417758638897,0.526984126984127,2520
5,client_12,1.2564273595809936,0.49722222222222223,2520
5,client_19,1.2603512078996688,0.5107142857142857,2520
6,client_8,1.2754758672108726,0.5015873015873016,2520
6,client_7,1.4144518273217337,0.45396825396825397,2520
6,client_16,1.238876824151902,0.5297619047619048,2520
6,client_9,1.25820829754784,0.501984126984127,2520
6,client_4,1.3788637645660884,0.48095238095238096,2520
6,client_3,1.3908979654312135,0.4531746031746032,2520
6,client_2,1.367044330778576,0.4797619047619048,2520
6,client_14,1.2750258245165387,0.5051587301587301,2520
6,client_19,1.2093250751495361,0.5317460317460317,2520
6,client_6,1.4292136362620762,0.44761904761904764,2520
6,client_5,1.374026924655551,0.4785714285714286,2520
6,client_17,1.2213875887885925,0.5321428571428571,2520
6,client_11,1.236065724160936,0.5206349206349207,2520
6,client_1,1.3625636797102672,0.4753968253968254,2520
6,client_15,1.2238191642458476,0.5242063492063492,2520
6,client_12,1.2288704399078612,0.5238095238095238,2520
6,client_10,1.2127096853558978,0.5238095238095238,2520
6,client_18,1.2528506646080622,0.5146825396825396,2520
6,client_13,1.273110488482884,0.5027777777777778,2520
7,client_16,1.257852199720958,0.5059523809523809,2520
7,client_1,1.2958548473933387,0.4865079365079365,2520
7,client_4,1.3502028389582559,0.4876984126984127,2520
7,client_18,1.1606665456105791,0.5567460317460318,2520
7,client_19,1.1558968316941034,0.5444444444444444,2520
7,client_12,1.194534787299141,0.5313492063492063,2520
7,client_0,1.3649468868497818,0.46825396825396826,2520
7,client_9,1.1878313091066148,0.5428571428571428,2520
7,client_7,1.3376743002543374,0.48253968253968255,2520
7,client_8,1.1900344912967984,0.5369047619047619,2520
7,client_13,1.1884867547050355,0.5321428571428571,2520
7,client_10,1.1759955277518621,0.5436507936507936,2520
7,client_3,1.3122282425562541,0.48968253968253966,2520
7,client_17,1.1791361063245742,0.5365079365079365,2520
7,client_14,1.2095344533995978,0.5277777777777778,2520
7,client_15,1.1692195370083764,0.557936507936508,2520
7,client_2,1.346103324587383,0.49047619047619045,2520
7,client_6,1.3589565095447358,0.4658730158730159,2520
8,client_0,1.3349918959632752,0.4876984126984127,2520
8,client_6,1.315754386924562,0.4781746031746032,2520
8,client_7,1.2916707754135133,0.49166666666666664,2520
8,client_2,1.3497862350373042,0.4888888888888889,2520
8,client_8,1.1598668068174331,0.5547619047619048,2520
8,client_13,1.168450479658823,0.5551587301587302,2520
8,client_14,1.1785407344500223,0.5555555555555556,2520
8,client_4,1.3251400353416565,0.4936507936507937,2520
8,client_12,1.1573998263904026,0.5642857142857143,2520
8,client_10,1.157747419296749,0.5587301587301587,2520
8,client_17,1.164435357139224,0.5531746031746032,2520
8,client_1,1.3299194816559081,0.4928571428571429,2520
8,client_5,1.3294095660012866,0.49563492063492065,2520
8,client_19,1.1467316336101956,0.5531746031746032,2520
8,client_11,1.1725756225131807,0.546031746031746,2520
8,client_18,1.129717036845192,0.5674603174603174,2520
8,client_3,1.3125636872791109,0.4849206349206349,2520
9,client_13,1.1105067782931857,0.5753968253968254,2520
9,client_12,1.1085952043533325,0.5769841269841269,2520
9,client_19,1.0939624012462676,0.5805555555555556,2520
9,client_11,1.1213249685272337,0.578968253968254,2520
9,client_10,1.1297705616269793,0.5615079365079365,2520
9,client_18,1.132040728463067,0.5813492063492064,2520
9,client_2,1.2517770490949116,0.5158730158730159,2520
9,client_8,1.1092040527434577,0.5833333333333334,2520
9,client_6,1.2780549548921132,0.5063492063492063,2520
9,client_14,1.0948209864752634,0.5964285714285714,2520
9,client_3,1.2763900946057032,0.5091269841269841,2520
9,client_4,1.306318698232136,0.4984126984126984,2520
9,client_15,1.096001328740801,0.5944444444444444,2520
9,client_9,1.1404423740175036,0.5646825396825397,2520
9,client_5,1.332921208275689,0.4865079365079365,2520
9,client_1,1.2407977111755855,0.503968253968254,2520
9,client_7,1.235115703325423,0.5186507936507937,2520
10,client_14,1.1005888479096548,0.5912698412698413,2520
10,client_4,1.3263362593121,0.5119047619047619,2520
10,client_16,1.1670652310053506,0.567063492063492,2520
10,client_13,1.0673796180694823,0.5857142857142857,2520
10,client_0,1.292360596429734,0.501984126984127,2520
10,client_10,1.0880952774532258,0.580952380952381,2520
10,client_17,1.0944951322343615,0.5734126984126984,2520
10,client_18,1.0673112901430282,0.6039682539682539,2520
10,client_8,1.1616072257359822,0.5591269841269841,2520
10,client_11,1.1110972067666431,0.5726190476190476,2520
10,client_19,1.076114945373838,0.5900793650793651,2520
10,client_1,1.2344103010873946,0.5170634920634921,2520
10,client_7,1.3147785182983156,0.49444444444444446,2520
10,client_12,1.0697854761093382,0.5841269841269842,2520
10,client_3,1.335530208027552,0.4936507936507937,2520
10,client_6,1.335207842645191,0.4884920634920635,2520
11,client_7,1.2486803217539713,0.5186507936507937,2520
11,client_6,1.2794043011135525,0.5079365079365079,2520
11,client_9,1.0981681543683248,0.5797619047619048,2520
11,client_10,1.0623105367024739,0.5972222222222222,2520
