round,avg_train_loss,avg_train_acc,avg_val_loss,avg_val_acc,clients_used,clients_failed
1,2.1451134859779737,0.17486772486772487,2.0540899276733398,0.2676190476190476,18,0
2,1.8698987324654108,0.32785714285714285,1.6832116961479187,0.4257936507936508,20,0
3,1.6022168739825962,0.40843253968253973,1.4475784003734589,0.4653968253968254,20,0
4,1.4289494294022758,0.4523015873015873,1.3019169688224792,0.493968253968254,20,0
5,1.3325072045364077,0.48375,1.2257883906364442,0.5499206349206349,20,0
6,1.2477309824455352,0.5196428571428571,1.1752479374408722,0.5617460317460318,20,0
7,1.2002481899375008,0.5439087301587302,1.1265500009059906,0.5880952380952381,20,0
8,1.1610914058817756,0.5600793650793652,1.104780089855194,0.5913492063492064,20,0
9,1.1235830066317605,0.5790079365079366,1.0617070108652116,0.6192063492063492,20,0
10,1.1098844445035572,0.5871825396825396,1.0433152109384536,0.6184920634920635,20,0
11,1.072207926538654,0.6004385964912281,1.0173469752073288,0.6388095238095237,19,0
12,1.0445528426564727,0.6125730994152047,0.9994201332330703,0.6546031746031746,19,0
13,1.0220407233202369,0.6252923976608187,0.993844959139824,0.6431746031746032,19,0
14,1.005231142443534,0.6282186948853616,0.9672494858503342,0.6601587301587302,18,0
15,1.0130521948574578,0.6294695071010861,0.9540149152278901,0.6677777777777778,19,0
16,0.9527250270772271,0.6471055088702147,0.9348772466182709,0.6752380952380952,17,0
17,0.9528032958117966,0.6488095238095238,0.9284729927778244,0.6744444444444444,17,0
18,0.9362003289350943,0.6580298786181139,0.914447283744812,0.6799206349206349,17,0
19,0.9473047521991445,0.6515873015873016,0.9173155158758164,0.6745238095238095,17,0
20,0.9183629192112763,0.6623249299719888,0.895836478471756,0.6839682539682539,17,0
