round,avg_train_loss,avg_train_acc,avg_val_loss,avg_val_acc,clients_used,clients_failed
1,2.093864351857907,0.2144400352733686,1.9200302422046662,0.275,18,0
2,1.7493110507884353,0.32896825396825397,1.6155572295188905,0.38722222222222225,9,0
3,1.6068603355417808,0.3769400352733686,1.534861946105957,0.4091269841269841,9,0
4,1.5194134872426432,0.4179453262786596,1.4036585152149201,0.4675396825396826,9,0
5,1.396250705281683,0.45784832451499113,1.280708873271942,0.5146031746031746,9,0
6,1.2982242673793167,0.4964285714285714,1.2053478598594665,0.5406349206349207,9,0
7,1.2360377029136376,0.5223985890652557,1.1413193941116333,0.5787301587301588,9,0
8,1.1932549474100587,0.5419753086419754,1.1004466772079469,0.596984126984127,9,0
9,1.157054405279681,0.5567901234567901,1.0621029257774353,0.6096825396825396,9,0
10,1.1133436085896098,0.5771164021164021,1.0320974379777907,0.6265873015873016,9,0
11,1.0806057783661696,0.5884479717813051,1.0097880482673645,0.6270634920634921,9,0
12,1.0596465458945623,0.598589065255732,0.9850955605506897,0.6369047619047619,9,0
13,1.0393454324210973,0.6108024691358025,0.9558708786964416,0.6477777777777778,9,0
14,1.0152837221584623,0.6184303350970017,0.9547372460365295,0.6501587301587302,9,0
15,1.0141980948481821,0.6224426807760142,0.9363566696643829,0.6663492063492064,9,0
16,1.0049172192233788,0.6258818342151675,0.921284607052803,0.6733333333333333,9,0
17,0.9705799734150921,0.6416225749559082,0.9124475508928299,0.6711904761904762,9,0
18,0.9637097509659998,0.6403439153439153,0.913729241490364,0.6672222222222223,9,0
19,0.9414463503230396,0.6542768959435626,0.9236965030431747,0.6716666666666666,9,0
20,0.9479059030769993,0.6480599647266314,0.8829801023006439,0.6817460317460318,9,0
