round,cid,train_loss,train_acc,num_examples
1,client_10,2.118516190468319,0.2003968253968254,2520
1,client_11,2.0748754887353806,0.22976190476190475,2520
1,client_4,2.09317771480197,0.21865079365079365,2520
1,client_2,2.1087498933549913,0.1976190476190476,2520
1,client_13,2.1022430821070595,0.20833333333333334,2520
1,client_14,2.0867805530154517,0.22420634920634921,2520
1,client_12,2.105393680315169,0.20595238095238094,2520
1,client_9,2.082828678782024,0.2261904761904762,2520
1,client_15,2.087962924109565,0.21944444444444444,2520
1,client_3,2.1007946343649,0.20595238095238094,2520
1,client_7,2.107416333849468,0.2154761904761905,2520
1,client_5,2.0875062950073726,0.19682539682539682,2520
1,client_8,2.1140998548931544,0.19722222222222222,2520
1,client_19,2.0545677654326906,0.2361111111111111,2520
1,client_0,2.0995620091756186,0.2222222222222222,2520
1,client_18,2.0743956868610685,0.21468253968253967,2520
1,client_6,2.1086740312122165,0.20753968253968255,2520
1,client_1,2.0820135169559055,0.23333333333333334,2520
2,client_6,1.7381059506582834,0.33015873015873015,2520
2,client_4,1.7713582708722069,0.31666666666666665,2520
2,client_0,1.7096997590292067,0.3547619047619048,2520
2,client_17,1.7404023923571148,0.3373015873015873,2520
2,client_10,1.7711791477506122,0.31547619047619047,2520
2,client_19,1.7392046674849495,0.3265873015873016,2520
2,client_16,1.7728291326098973,0.3277777777777778,2520
2,client_15,1.7378404908710057,0.3396825396825397,2520
2,client_13,1.7631796454626416,0.3123015873015873,2520
3,client_0,1.5903379224595569,0.396031746031746,2520
3,client_4,1.6504147563661848,0.375,2520
3,client_17,1.5940955949208093,0.3888888888888889,2520
3,client_6,1.5989821831385294,0.3678571428571429,2520
3,client_10,1.608005516491239,0.38452380952380955,2520
3,client_16,1.594141083293491,0.3753968253968254,2520
3,client_15,1.5899965293823726,0.3686507936507937,2520
3,client_13,1.631841760968405,0.3611111111111111,2520
3,client_19,1.6039276728554377,0.375,2520
4,client_4,1.5565205729196943,0.3984126984126984,2520
4,client_10,1.5247103131006634,0.4257936507936508,2520
4,client_13,1.5469675185188414,0.4095238095238095,2520
4,client_16,1.5102817062347655,0.41944444444444445,2520
4,client_0,1.4975811417140659,0.43333333333333335,2520
4,client_6,1.519764492625282,0.4087301587301587,2520
4,client_17,1.5266664826680743,0.4015873015873016,2520
4,client_15,1.4932015612011864,0.4384920634920635,2520
4,client_19,1.4990275962012154,0.4261904761904762,2520
5,client_15,1.3895686645356435,0.4650793650793651,2520
5,client_17,1.3654383863721575,0.4642857142857143,2520
5,client_0,1.3309903723852976,0.5011904761904762,2520
5,client_13,1.4550316375399392,0.4392857142857143,2520
5,client_4,1.4605035910530695,0.43174603174603177,2520
5,client_6,1.3860480032269917,0.45476190476190476,2520
5,client_16,1.4003673031216577,0.4488095238095238,2520
5,client_10,1.4063382001150222,0.4448412698412698,2520
5,client_19,1.3719701891853695,0.47063492063492063,2520
6,client_13,1.3309232893444243,0.48373015873015873,2520
6,client_0,1.3005641214431278,0.503968253968254,2520
6,client_17,1.2534782557260422,0.5055555555555555,2520
6,client_10,1.306162122696165,0.4884920634920635,2520
6,client_16,1.302971030795385,0.49682539682539684,2520
6,client_19,1.2945277232972403,0.5043650793650793,2520
6,client_4,1.350825760099623,0.4793650793650794,2520
6,client_6,1.2814613928870549,0.49126984126984125,2520
6,client_15,1.2631047101247879,0.5142857142857142,2520
7,client_6,1.2011602492559523,0.5376984126984127,2520
7,client_13,1.2321637520714412,0.5329365079365079,2520
7,client_19,1.2287497157142275,0.513095238095238,2520
7,client_17,1.213518264180138,0.5273809523809524,2520
7,client_0,1.2288803577423095,0.5297619047619048,2520
7,client_10,1.2406367740933857,0.5198412698412699,2520
7,client_16,1.2410107729926942,0.5178571428571429,2520
7,client_4,1.274421391411433,0.5138888888888888,2520
7,client_15,1.263798048761156,0.5091269841269841,2520
8,client_6,1.195202426683335,0.5388888888888889,2520
8,client_16,1.1780224705499316,0.5424603174603174,2520
8,client_13,1.2115537174164304,0.5424603174603174,2520
8,client_15,1.1574574360771785,0.5678571428571428,2520
8,client_17,1.1874139532210335,0.5388888888888889,2520
8,client_19,1.1988467984729343,0.5206349206349207,2520
8,client_4,1.2100895450228737,0.5480158730158731,2520
8,client_10,1.2158241260619391,0.5261904761904762,2520
8,client_0,1.1848840531848726,0.5523809523809524,2520
9,client_4,1.1821903435010759,0.5599206349206349,2520
9,client_16,1.1554669353697036,0.55,2520
9,client_6,1.1265934728440785,0.5777777777777777,2520
9,client_17,1.1205880331614662,0.5678571428571428,2520
9,client_15,1.1544095580540006,0.5587301587301587,2520
9,client_13,1.184618153647771,0.5547619047619048,2520
9,client_10,1.1952269255168855,0.528968253968254,2520
9,client_0,1.1351454625054012,0.5753968253968254,2520
9,client_19,1.1592507629167466,0.5376984126984127,2520
