round,avg_train_loss,avg_train_acc,avg_val_loss,avg_val_acc,clients_used,clients_failed
1,2.1706828093612844,0.14523809523809525,2.1458956718444826,0.1319047619047619,18,0
2,1.9671420314576893,0.27341269841269844,1.805176031589508,0.33595238095238095,20,0
3,1.7358949225857145,0.35498015873015876,1.6299185395240783,0.4173809523809524,20,0
4,1.5965079209161182,0.40229741019214704,1.490503978729248,0.4527777777777778,19,0
5,1.4831182034292516,0.4389097744360902,1.3843109011650085,0.49230158730158735,19,0
6,1.3963013179917683,0.47038429406850457,1.3323995232582093,0.4838095238095238,19,0
7,1.3210575509744136,0.4992283950617284,1.2549203932285309,0.5219047619047619,18,0
8,1.2193134704042994,0.5398809523809524,1.1790172934532166,0.5605555555555555,16,0
9,1.2092959076340435,0.5476399331662489,1.1265230178833008,0.603015873015873,19,0
10,1.1694976166516793,0.5646125116713352,1.099832683801651,0.6042857142857143,17,0
11,1.1464677114669237,0.5766573295985061,1.0678980588912963,0.6256349206349207,17,0
12,1.1151188797315803,0.5866181657848324,1.0686633378267287,0.623968253968254,18,0
13,1.0827725055435347,0.6003720238095238,1.0546413242816925,0.6231746031746032,16,0
14,1.0681562390091484,0.6078664799253035,1.0106207966804504,0.6496825396825396,17,0
15,1.0423372264113189,0.6179505135387489,1.006287333369255,0.6492063492063492,17,0
16,1.0366841255449781,0.6245098039215686,0.9791177868843078,0.6606349206349207,17,0
17,1.018281103481376,0.6300843253968254,0.9655127495527267,0.6711904761904762,16,0
18,0.994155534522401,0.6378720238095238,0.9611179530620575,0.6722222222222223,16,0
19,0.9798819986712031,0.6449813258636788,0.9450854957103729,0.6787301587301587,17,0
20,0.9901260887986583,0.6418534080298786,0.9436170846223831,0.6723015873015873,17,0
